egid;xkoordinaten;ykoordinaten;wirtschaftseinheit;vermoegensart;aktuelle_nutzung;prio
;2607450;1228686.1;GE 005/3134/1;VV;Verwaltung;A
;2607456;1228889;GE 005/4142/4;AM;Sicherheit;
;2607463;1229275;GE 005/1101/2;VV;Bildung - Kantonsschule;A
;2607473;1228599;GE 005/3105/1;FV;Sonstiges;B
;2607488.2;1227563.7;GE 005/2110/13;VV;Gesundheit;
;2607507;1228590.8;GE 005/4151/1;AM;Verwaltung;
;2607510;1227657;GE 005/2110/8;VV;Gesundheit;
;2607520.1;1227750.8;GE 005/2110/21;VV;Gesundheit;
;2607541;1229339;GE 005/1101/6;VV;Bildung - Kantonsschule;A
;2607580.3;1227606.8;GE 005/2110/18;VV;Gesundheit;
;2607581.1;1227533;GE 005/2110/20;VV;Sonstiges;
;2607591.7;1227813.5;GE 005/2110/22;VV;Gesundheit;
;2607601;1229236;GE 005/1101/4;VV;Bildung - Kantonsschule;A
;2607627.8;1229038.5;GE 005/4126/1;AM;Sonstiges;
;2607788.9;1228128.8;GE 005/4114/1;AM;Verwaltung;
;2607840;1228821;GE 005/4116/1;AM;Sonstiges;
;2607893;1228257;GE 005/4124/1;AM;Verwaltung;
;2607936;1229116;GE 005/1102/5;VV;;A
;2607941.1;1250443;GE 005/3005/3;VV;Sicherheit;
;2607956.3;1229095.6;GE 005/1102/2;VV;Bildung - FHNW;A
;2607959.3;1229039.4;GE 005/1102/3;VV;Bildung - FHNW;A
;2608021.6;1229021.3;GE 005/1102/4;VV;Bildung - FHNW;A
;2609377.4;1231494.8;GE 005/1208/14;VV;Sonstiges;
;2609416.4;1231542.1;GE 005/1208/3;VV;Sonstiges;
;2609442.9;1228047.3;GE 005/4403/1;AM;Sicherheit;
;2609447;1231610;GE 005/1208/17;VV;Sonstiges;
;2609472.8;1231584.6;GE 005/1208/4;VV;Bildung - BBZ;A
;2609476;1231661;GE 005/1208/16;VV;Sonstiges;
;2609504;1231779;GE 005/1208/18;VV;Sonstiges;
;2609541.6;1231670.9;GE 005/1208/15;VV;Sonstiges;
;2609548.8;1231647.6;GE 005/1208/5;VV;Sonstiges;
;2609567;1231459;GE 005/1208/21;VV;Sonstiges;
;2610029.4;1227967.9;GE 005/3416/3;VV;Sonstiges;A
