ID_Quelle,Flurname,QuellenName,X_Koordinate_LV03,Y_Koordinate_LV03,Hoehe,Datum_CSV,Austrittsform,Quellgroesse,Schuettungsverhalten,Quellschuettung,Vernetzung,Austrittsanzahl,Bemerkungen,Fassung,Wasserentnahme,Trittschaeden,Sommerbeschattung,Substrate,RevitObjekt,Gesamtbewertung_CSV,BioErhebung_CSV
SO_TH_0128,Laupersdörfer Stierenberg,Hemmeigraben,614808,242439,1051,25/09/2022,Sickerquelle,gross,ganzjährig,<1,Einzelquelle,1,[SO_Thal_240] Sickerquelle mündet nach 25m in ID 240 ,keine,keine,gering,nicht definiert,"Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen",unklar,bedingt_naturnah,
SO_TH_0079,Hinteres Hagli,Haglibach 1,616667,244684,765,13/05/2022,Sickerquelle,mittel,ganzjährig,<1,Einzelquelle,,"[SO_Thal_061] CL: nach seinen Notizen ist Herr Ackermann unsicher ob es eine ""eigenständige"" Q ist. Schüttung ist geschätzt",keine,keine,gering,gering,"Fels,Steine,Kies,Sand,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub,Org. Schlamm",JA,naturnah,
SO_TH_0214,Oberer Passwang,Dünselgraben,617669,245742,1075,19/09/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_070],keine,keine,keine,mittel,"Fels,Steine,Kies,Sand,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub",unklar,maessig_beeintraechtigt,
SO_TH_0175,unterer Passwang,Chessilochbach 2,616410,245648,906,20/09/2022,künstlich,klein,periodisch,<1,Einzelquelle,1,[SO_Thal_151] Bemerkungen auf zweitem Blatt,Nur Rohr/Rinne,keine,keine,nicht definiert,"Fels,Steine,Kies,Sand,Feinmaterial,Wurzeln,Totholz,Pflanzen",unklar,maessig_beeintraechtigt,01/10/2022
SO_TH_0055,Güggel,Güggel 1,611180,241884,1085,30/08/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_106],keine,keine,keine,unbeschattet,"Steine,Sand,Feinmaterial,Moospolster,Pflanzen",unklar,naturnah,
SO_TH_0090,Guldental,Guldental 1,610992,242200,972,12/09/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_178],keine,keine,gering,nicht definiert,"Steine,Kies,Moospolster,Totholz,Pflanzen",unklar,naturnah,
SO_TH_0167,Güggel,Güggel 3,611210,241803,1065,30/08/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_143]. CL: schöne Waldquelle meines Erachtens,keine,keine,keine,nicht definiert,"Fels,Steine,Moospolster,Totholz,Falllaub,Kalksinter",unklar,naturnah,
SO_TH_0130,Güggelhof,Güggelhof,616557,240736,568,27/05/2022,Fliessquelle,mittel,ganzjährig,<1,Einzelquelle,1,[SO_Thal_238],Nur Rohr/Rinne,keine,keine,nicht definiert,"Steine,Feinmaterial,Moospolster,Wurzeln,Totholz,Kalksinter",unklar,maessig_beeintraechtigt,
SO_TH_0081,Baumgartenacker,Rickenbächli,611507,238493,527,11/10/2022,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,2,[SO_Thal_075] Bachflohkrebse. Brunnenkresse. Libelle. Bachminze. starke menschliche Nutzung. // Fotos siehe original Ordner,Rohr und Becken,keine,mässig,unbeschattet,"Fels,Steine,Kies,Sand,Feinmaterial,Moospolster,Pflanzen",unklar,geschaedigt,
SO_TH_0153,Hinter Hammer. Herbelswil,Hinter Hammer,609465,236901,569,11/10/2022,Fliessquelle,klein,periodisch,1-10,Einzelquelle,,[SO_Thal_157] Bachflohkrebse. Frosch. 2 Röhren. kein Wasser. aber Wasser vorhanden // CL: mFG. WT & QSch geschätzt. Q gross und eignet sich sicher für Schutz// Fotos siehe original Ordner,keine,keine,keine,mittel,"Fels,Steine,Kies,Sand,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub,Org. Schlamm,Kalksinter",JA,maessig_beeintraechtigt,
